[2026-03-28 17:54:59,391] [INFO] main | Server starting...
[2026-03-28 17:54:59,393] [INFO] main | Environment: DEBUG
[2026-03-28 17:54:59,396] [INFO] main | Allowed Origins: ['*']
[2026-03-28 17:54:59,724] [INFO] main | Server shutting down...
[2026-03-28 17:55:04,551] [INFO] main | Server starting...
[2026-03-28 17:55:04,551] [INFO] main | Environment: DEBUG
[2026-03-28 17:55:04,565] [INFO] main | Allowed Origins: ['*']
[2026-03-28 18:01:42,356] [INFO] main | Server shutting down...
[2026-03-28 18:04:21,363] [INFO] main | Server starting...
[2026-03-28 18:04:21,363] [INFO] main | Environment: DEBUG
[2026-03-28 18:04:21,363] [INFO] main | Allowed Origins: ['*']
[2026-03-28 20:53:18,079] [INFO] main | Server shutting down...
[2026-03-30 20:34:48,546] [INFO] main | Server starting...
[2026-03-30 20:34:48,546] [INFO] main | Environment: DEBUG
[2026-03-30 20:34:48,546] [INFO] main | Allowed Origins: ['*']
[2026-03-30 22:22:45,029] [INFO] main | Server starting...
[2026-03-30 22:22:45,029] [INFO] main | Environment: DEBUG
[2026-03-30 22:22:45,029] [INFO] main | Allowed Origins: ['*']
[2026-03-30 22:23:21,732] [INFO] main | Server shutting down...
[2026-03-30 22:23:45,329] [INFO] main | Server starting...
[2026-03-30 22:23:45,329] [INFO] main | Environment: DEBUG
[2026-03-30 22:23:45,329] [INFO] main | Allowed Origins: ['*']
[2026-03-30 22:23:45,799] [INFO] main | Server shutting down...
[2026-03-30 22:23:46,632] [INFO] main | Server starting...
[2026-03-30 22:23:46,632] [INFO] main | Environment: DEBUG
[2026-03-30 22:23:46,632] [INFO] main | Allowed Origins: ['*']
[2026-03-30 22:25:21,232] [INFO] app.api.v1.sensor | Sensor request: POST http://localhost:8000/api/v1/sensor
[2026-03-30 22:25:21,233] [INFO] app.api.v1.sensor | Request body: {'device_id': 'device-zwznepxt3', 'timestamp': '2026-03-30T21:25:20.878Z', 'device_info': {'device_type': 'desktop', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36', 'platform': 'Win32'}, 'data': {'noise': 'U2FsdGVkX1+fFReLAMOcyfoiJad7xm602r3z6Le6K4jdc3ZuNmawr1/1SSbMm8tmKbcNVPIBQtv9Lw7cd05R435MPnYgLIMQol2UKo9GPDrk72GZoQOCupyMuMB90FRe', 'people': 'U2FsdGVkX19S3+oTzwLMufWc7fNIhyJUzqrp7oC03YDjoTlGI/RhEasaP7WIlooGmzS6yme/lbeosBthwp/KMFNZBE/YSvjBKooHsJ7ew4c=', 'motion': 'U2FsdGVkX18aaNJKm9zJ9fXxwq2OStCoCqa9ayBfyhSNHCfJmSXPVBUGbruVYCh4IoJN6oCB/YOidSAiuan2Hp6BuYt9AH91WiRzutD5QQiEhzXUn6jUzu6Rfk9VkCiE'}}
[2026-03-30 22:25:21,234] [WARNING] app.api.v1.sensor | Plain data received (TEMP support - add encryption in frontend)
[2026-03-30 22:25:21,234] [INFO] app.api.v1.sensor | Using plain device_id: device-zwznepxt3
[2026-03-30 22:25:21,239] [INFO] app.services.sensor_service | Processing plain data (TEMP)
[2026-03-30 22:25:21,244] [INFO] app.services.sensor_service | Processed record for device-zwznepxt3
[2026-03-30 22:25:21,244] [INFO] app.api.v1.sensor | Successfully stored data for device: device-zwznepxt3. Record count: 2
[2026-03-30 22:25:21,250] [INFO] app.api.v1.sensor | Sensor request: POST http://localhost:8000/api/v1/sensor
[2026-03-30 22:25:21,252] [INFO] app.api.v1.sensor | Request body: {'device_id': 'device-zwznepxt3', 'timestamp': '2026-03-30T21:25:21.221Z', 'device_info': {'device_type': 'desktop', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36', 'platform': 'Win32'}, 'data': {'noise': 'U2FsdGVkX18Iq33dLpL4ss2xp4+hnJlEQODEuYEzclEejVW0gIMyoQkHaj/FkoIgu2BHH6A39XVGyYA9ohObpBmg+CHRqOsLYovL6gexXUNhHJU4u93wgsdggUzZj1tR', 'people': 'U2FsdGVkX1+4l0PxeiXT40v+OG+k951F5/6ZBIgDk8imFIsryNIemKwAo7pjCnXYari3gI4jniU4fgI27CEB1egEMu/bGhrkZtik87G9WZk=', 'motion': 'U2FsdGVkX19Nboohkk2p9cpX8d3L+fkqbMjFgAOl2451CS2XoSPrmU/06IugMv2bQ20u3XjIDrmjYm9XDoDR8c1ieyi5s84uFcx/Z18+g6UZX6lUl6a2kAp/eEAdg2vm'}}
[2026-03-30 22:25:21,252] [WARNING] app.api.v1.sensor | Plain data received (TEMP support - add encryption in frontend)
[2026-03-30 22:25:21,252] [INFO] app.api.v1.sensor | Using plain device_id: device-zwznepxt3
[2026-03-30 22:25:21,252] [INFO] app.services.sensor_service | Processing plain data (TEMP)
[2026-03-30 22:25:21,258] [INFO] app.services.sensor_service | Processed record for device-zwznepxt3
[2026-03-30 22:25:21,260] [INFO] app.api.v1.sensor | Successfully stored data for device: device-zwznepxt3. Record count: 4
[2026-03-30 22:25:22,222] [INFO] app.api.v1.sensor | Sensor request: POST http://localhost:8000/api/v1/sensor
[2026-03-30 22:25:22,222] [INFO] app.api.v1.sensor | Request body: {'device_id': 'device-zwznepxt3', 'timestamp': '2026-03-30T21:25:22.219Z', 'device_info': {'device_type': 'desktop', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36', 'platform': 'Win32'}, 'data': {'noise': 'U2FsdGVkX1/bUvxx5tfu7iGURoT+gCLIuFLRkDsz1HQie5BYjoqiS2ev/LS1cPwH1E1B7qXpeY3deZpfkiowR/CA4umvGKmyYW2tSbXylqMwcp5EuP/V56d8N/s1QD3x', 'people': 'U2FsdGVkX18NVCdHyWIgOCeQCAVAA16ZhdjnxhUxIMGeZ7+gJQKXWJpZEwDAmZlUMMOTy2DzOoKJh98FpiZMXmwivkVSnTumhExYaAiyzB8=', 'motion': 'U2FsdGVkX1/r2TbhzFpqRJ5hTNPrc/JxwuRBHOVrLKCEJEb+4jfEIxS4qoL+rTDwjJTAKyYUsP/J++AnD9qseSWtpnNnhC92Dfo+aXzKtzaQlbR2J9n5ymypdwC8MoyZ'}}
[2026-03-30 22:25:22,224] [WARNING] app.api.v1.sensor | Plain data received (TEMP support - add encryption in frontend)
[2026-03-30 22:25:22,224] [INFO] app.api.v1.sensor | Using plain device_id: device-zwznepxt3
[2026-03-30 22:25:22,224] [INFO] app.services.sensor_service | Processing plain data (TEMP)
[2026-03-30 22:25:22,236] [INFO] app.services.sensor_service | Processed record for device-zwznepxt3
[2026-03-30 22:25:22,237] [INFO] app.api.v1.sensor | Successfully stored data for device: device-zwznepxt3. Record count: 6
[2026-03-30 22:25:23,226] [INFO] app.api.v1.sensor | Sensor request: POST http://localhost:8000/api/v1/sensor
[2026-03-30 22:25:23,227] [INFO] app.api.v1.sensor | Request body: {'device_id': 'device-zwznepxt3', 'timestamp': '2026-03-30T21:25:23.221Z', 'device_info': {'device_type': 'desktop', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36', 'platform': 'Win32'}, 'data': {'noise': 'U2FsdGVkX1/ntKtHFECmjyZJbMmLAuXAN66/PWmsiMNOBJI47Ra98uPDY398RLKmKQsBuH50Ktypr0RVIcAXTkw1wbFZvOQkpzUN/kZ9AoVAFAgbvW9ffaM6C5Ai4Mhb', 'people': 'U2FsdGVkX1/9muWidtluQWqsXL1wMUascJyQ+dy1F6rldPF+g1bgSCwPPA5HBfqOiK8bf4i7p9EQ6CXlbuPFMFc0E9MoL9k07QwLxXUhNFw=', 'motion': 'U2FsdGVkX18qufeXAzrwZ6k27E2tRLiU8wCIHsf/Ga3NsmpDb6GtmeuWrg7nyT/M0AJFiajt6bo3D74ntSXJUTmKgdwJARImIfSwN1+yj95OJ5b+Sva5vkQZ5CQgoZ8s'}}
[2026-03-30 22:25:23,228] [WARNING] app.api.v1.sensor | Plain data received (TEMP support - add encryption in frontend)
[2026-03-30 22:25:23,228] [INFO] app.api.v1.sensor | Using plain device_id: device-zwznepxt3
[2026-03-30 22:25:23,230] [INFO] app.services.sensor_service | Processing plain data (TEMP)
[2026-03-30 22:25:23,232] [INFO] app.services.sensor_service | Processed record for device-zwznepxt3
[2026-03-30 22:25:23,234] [INFO] app.api.v1.sensor | Successfully stored data for device: device-zwznepxt3. Record count: 8
[2026-03-30 22:25:25,918] [INFO] app.api.v1.sensor | Sensor request: POST http://localhost:8000/api/v1/sensor
